Frame Time; FPS
0.016667;59.999882
0.4;2.5
0.4;2.5
0.110439;9.054739
0.073546;13.596895
0.066207;15.104097
0.064489;15.50664
0.072801;13.736018
0.066829;14.963653
0.064042;15.614753
0.076559;13.061838
0.074221;13.47333
0.064605;15.478654
0.069484;14.391865
0.075839;13.185828
0.075011;13.33136
0.063945;15.63856
0.064096;15.601573
0.065094;15.362351
0.066367;15.067729
0.063163;15.832028
0.065514;15.263959
0.06355;15.735567
0.066078;15.133584
0.071467;13.992531
0.065051;15.372625
0.069585;14.370975
0.066035;15.143508
0.064019;15.620362
0.065525;15.261444
0.066062;15.137295
0.063775;15.6801
0.063696;15.699524
0.066562;15.02354
0.065781;15.202051
0.072438;13.804966
0.063491;15.750263
0.064036;15.616264
0.063387;15.776082
0.066613;15.012153
0.06663;15.008277
0.066743;14.982935
0.065423;15.285214
0.065544;15.256973
0.065309;15.311872
0.06582;15.193066
0.069441;14.400797
0.06603;15.144586
0.068158;14.671834
0.064098;15.601136
0.069212;14.448278
0.064603;15.479061
0.063163;15.832028
0.06356;15.733289
0.065313;15.310888
0.064028;15.618168
0.063572;15.730195
0.063552;15.735147
0.064172;15.58312
0.063592;15.725174
0.067354;14.846841
0.067994;14.70718
0.06565;15.232316
0.063696;15.699522
0.065472;15.273705
0.064617;15.475898
0.069332;14.423251
0.068557;14.586359
0.067905;14.726412
0.068806;14.533679
0.068732;14.54918
0.074539;13.415741
0.07364;13.57952
0.063074;15.854342
0.073966;13.51967
0.059673;16.757885
0.062306;16.04982
0.058443;17.110746
0.060742;16.462992
0.058585;17.069332
0.057234;17.47201
0.059141;16.908657
0.060741;16.463398
0.061368;16.295084
0.059809;16.719864
0.05982;16.716818
0.061675;16.213999
0.4;2.5
0.061064;16.376341
0.059477;16.813221
0.059048;16.935318
0.057994;17.243252
0.060693;16.476229
0.060193;16.613173
0.06287;15.905737
0.060217;16.606579
0.062926;15.891631
0.062437;16.016272
0.060761;16.457926
0.06463;15.472763
0.063385;15.776505
0.066864;14.955665
0.065521;15.262188
0.056243;17.779991
0.059572;16.786551
0.0579;17.271248
0.065045;15.374018
0.057663;17.342234
0.060359;16.567619
0.060176;16.618059
0.058539;17.082745
0.058916;16.973175
0.059463;16.817123
0.059792;16.724619
0.05836;17.135052
0.062791;15.925825
0.060755;16.459496
0.059012;16.94585
0.072871;13.72288
0.058233;17.172453
0.058319;17.147011
0.059948;16.681263
0.059141;16.908743
0.058587;17.068575
0.05939;16.837965
0.059511;16.803616
0.062402;16.025103
0.058844;16.99423
0.062289;16.054226
0.062231;16.069033
0.061155;16.351999
0.064427;15.521419
0.060598;16.502277
0.061485;16.264261
0.059995;16.668112
0.062215;16.07332
0.059616;16.773964
0.058043;17.228607
0.061738;16.197506
0.059708;16.748203
0.068303;14.640539
0.077446;12.912173
0.058013;17.237604
0.061078;16.3724
0.061097;16.36747
0.058647;17.051287
0.057103;17.512367
0.064052;15.612412
0.064526;15.497678
0.069938;14.298317
0.064469;15.511353
0.061388;16.289776
0.059551;16.792385
0.060319;16.578579
0.061586;16.237509
0.058928;16.969862
0.064493;15.505462
0.061983;16.133352
0.085246;11.730797
0.058112;17.20809
0.061269;16.321468
0.060336;16.573742
0.058685;17.040043
0.058941;16.966089
0.059437;16.824509
0.061395;16.287891
0.061161;16.350262
0.060816;16.443123
0.067789;14.751656
0.068214;14.659683
0.061954;16.140982
0.063128;15.840807
0.066409;15.058178
0.064176;15.582221
0.057976;17.248398
0.06109;16.369238
0.060577;16.508024
0.062494;16.001511
0.05933;16.854908
0.063024;15.86687
0.06298;15.878159
0.061135;16.357187
0.06294;15.888223
0.060596;16.50263
0.058572;17.072887
0.060218;16.606413
0.058732;17.026609
0.061278;16.318937
0.058308;17.150364
0.063612;15.720404
0.060808;16.445177
0.057679;17.337271
0.058196;17.183401
0.063373;15.779691
0.061621;16.228182
0.062918;15.893703
0.059164;16.902113
0.058271;17.161077
0.062277;16.057369
0.05868;17.041668
0.059968;16.675476
0.061208;16.337681
0.059322;16.857124
0.060945;16.408264
0.059528;16.798874
0.062978;15.878687
0.058449;17.109079
0.057662;17.342474
0.058793;17.008713
0.058852;16.991863
0.059901;16.694267
0.067169;14.887864
0.06087;16.428562
0.064397;15.528674
0.070208;14.24331
0.06026;16.594839
0.060368;16.565178
0.058192;17.184523
0.060533;16.519941
0.058746;17.022377
0.062098;16.103603
0.058361;17.134729
